times,high,circle,density_pre,density_eve
2452474.613382909,476.71964,86.61529,1.225e-12,7.831e-13
2452475.20394547,476.66245,72.44179,1.275e-12,7.825e-13
2452475.86012456,476.53543,78.74081,1.286e-12,7.317e-13
2452476.18821323,476.46412,81.89031,1.288e-12,7.343e-13
2452477.30371131,476.32601,86.61418,1.298e-12,7.948e-13
2452478.22235347,476.17812,99.2119,1.367e-12,8.702e-13
2452478.550438949,476.10529,91.33784,1.372e-12,8.909e-13
2452479.14099156,476.04993,77.16458,1.388e-12,9.291e-13
2452479.600309299,475.8697,86.61295,1.466e-12,9.33e-13
2452480.190857479,475.82812,72.43979,1.486e-12,9.369e-13
2452480.912635299,475.71383,78.73852,1.603e-12,9.421e-13
2452481.17509899,475.72403,72.43939,1.624e-12,9.394e-13
2452482.35618249,475.58938,85.03666,1.643e-12,1.058e-12
2452483.209182209,475.52345,94.48438,1.577e-12,1.149e-12
2452483.60287303,475.48255,85.0358,1.554e-12,1.176e-12
2452484.19340689,475.46513,96.05839,1.512e-12,1.139e-12
2452484.849551729,475.3909,80.31092,1.503e-12,1.136e-12
2452485.1120083,475.31113,74.01196,1.495e-12,1.128e-12
2452485.89937655,475.24462,78.73573,1.512e-12,9.989e-13
2452486.161830679,475.23499,72.43683,1.518e-12,9.72e-13
2452487.14603126,475.12662,72.43644,1.51e-12,8.908e-13
2452488.195839989,474.99369,72.43593,1.433e-12,9.436e-13
2452489.18003193,474.88991,96.05534,1.137e-12,9.578e-13
2452489.57370688,474.8448,86.60714,1.107e-12,9.694e-13
2452490.164216159,474.82185,72.43492,1.036e-12,9.591e-13
2452490.62349969,474.74404,85.03207,9.627e-13,7.759e-13
2452491.21400365,474.73629,96.05449,8.836e-13,6.226e-13
2452491.870116909,474.6696,80.30777,8.603e-13,5.395e-13
2452492.132561639,474.66237,74.00909,8.556e-13,5.002e-13
2452493.18233782,474.59388,81.88207,8.821e-13,4.384e-13
2452494.16650256,474.65026,72.43386,9.372e-13,5.108e-13
2452495.2162739,474.64886,74.00812,9.963e-13,6.166e-13
2452496.134819549,474.61258,74.00777,1.105e-12,6.665e-13
2452496.59409057,474.59824,85.02987,1.157e-12,7.452e-13
2452497.18458025,474.58796,100.77553,1.197e-12,8.774e-13
2452497.7750685,474.56047,86.60382,1.227e-12,9.134e-13
2452498.299945749,474.55646,74.00676,1.269e-12,9.445e-13
2452498.89043034,474.57361,80.30476,1.328e-12,1.079e-12
2452499.218476729,474.55536,72.43164,1.335e-12,1.116e-12
2452500.137001909,474.53365,72.4311,1.462e-12,1.196e-12
2452501.383560809,474.48771,91.32496,1.551e-12,1.296e-12
2452501.64599265,474.54398,85.0266,1.551e-12,1.302e-12
2452502.2364619,474.52224,96.04783,1.671e-12,1.386e-12
2452502.892536759,474.59729,80.30203,1.661e-12,1.408e-12
2452503.154964589,474.59003,74.00377,1.664e-12,1.442e-12
2452504.13906747,474.63662,72.42848,1.808e-12,1.598e-12
2452505.188767579,474.64626,81.87447,1.951e-12,1.805e-12
2452506.23845482,474.64778,86.59693,1.806e-12,1.743e-12
2452507.15692082,474.70766,72.42604,1.733e-12,1.719e-12
2452507.55054702,474.65452,80.29796,1.698e-12,1.663e-12
2452508.140979039,474.78963,72.42537,1.569e-12,1.555e-12
2452508.60020363,474.80936,85.0205,1.47e-12,1.479e-12
2452509.19063204,474.87932,99.18986,1.375e-12,1.346e-12
2452509.846660059,474.98685,83.44519,1.364e-12,1.343e-12
2452510.174672279,474.98042,75.5729,1.354e-12,1.314e-12
2452510.896295339,475.09164,78.72138,1.314e-12,1.169e-12
2452511.158702829,474.81572,72.4236,1.301e-12,1.085e-12
2452512.142724569,474.83602,73.99757,1.253e-12,8.984e-13
2452513.32354297,474.94701,96.03823,1.199e-12,9.66e-13
2452514.17635275,475.06605,75.57079,1.153e-12,9.999e-13
2452514.63555346,475.19474,85.01678,1.137e-12,1.03e-12
2452515.22595675,475.22657,81.86764,1.145e-12,1.043e-12
2452516.144351969,475.30884,73.99544,1.201e-12,9.508e-13
2452517.32513573,475.34964,86.58977,1.229e-12,8.232e-13
2452518.177919439,475.38695,72.42031,1.246e-12,7.918e-13
2452518.637108619,475.35013,85.01475,1.302e-12,8.677e-13
2452519.22749528,475.54063,99.18319,1.324e-12,9.811e-13
2452519.88347712,475.59004,83.43963,1.322e-12,1.036e-12
2452520.145869929,475.58256,77.1422,1.324e-12,1.044e-12
2452520.93304261,475.66129,78.71604,1.332e-12,1.121e-12
2452521.1954322,475.74369,72.41869,1.354e-12,1.136e-12
2452522.17939002,475.71563,72.41815,1.306e-12,1.157e-12
2452523.360128399,475.86127,78.71447,1.473e-12,1.5e-12
2452523.62251348,475.8532,72.41722,1.5e-12,1.542e-12
2452524.212877519,476.00231,72.41678,1.519e-12,1.598e-12
2452524.86883501,476.04294,72.41631,1.6e-12,1.584e-12
2452525.196812919,476.14886,96.02967,1.702e-12,1.518e-12
2452525.85276318,476.58548,80.28686,1.634e-12,1.517e-12
2452526.180737509,476.63224,72.41548,1.613e-12,1.412e-12
2452526.639897849,476.67554,85.00883,1.751e-12,1.478e-12
2452527.2302434,476.6877,94.45344,1.829e-12,1.558e-12
2452527.886181259,476.75577,78.71093,1.876e-12,1.664e-12
2452528.148556749,476.69391,72.41392,1.902e-12,1.71e-12
2452529.198049069,476.27512,75.56127,1.787e-12,1.903e-12
2452530.181932509,476.52519,72.41211,1.64e-12,1.84e-12
2452531.165803439,476.51358,72.41143,1.519e-12,1.69e-12
2452531.428167589,476.50027,83.4302,1.471e-12,1.578e-12
2452532.346435289,476.54279,91.30017,1.483e-12,1.419e-12
2452532.543205259,476.52154,86.57769,1.482e-12,1.39e-12
2452533.199103939,476.54799,96.02176,1.504e-12,1.379e-12
2452533.59264134,476.52829,86.57686,1.505e-12,1.342e-12
2452534.18294655,476.61607,72.40954,1.528e-12,1.378e-12
2452534.90442606,476.66245,78.70532,1.547e-12,1.487e-12
2452535.166782919,476.67021,72.40875,1.553e-12,1.528e-12
2452536.15060896,476.91504,78.70433,1.384e-12,1.448e-12
2452537.20001062,476.89751,73.98154,1.275e-12,1.288e-12
2452538.18381431,476.88035,72.40706,1.189e-12,1.048e-12
2452538.577333579,476.88682,72.4069,1.179e-12,9.835e-13
2452539.4299559,476.78398,77.12865,1.118e-12,8.866e-13
2452540.020230929,476.80279,77.1284,1.079e-12,8.334e-13
2452540.28257491,476.72887,92.86859,1.077e-12,7.908e-13
2452541.200775309,476.78967,96.01618,1.074e-12,7.504e-13
2452541.594287639,476.81167,86.57189,1.08e-12,7.253e-13
2452542.18455479,476.80779,72.40548,1.099e-12,7.115e-13
2452542.643649669,476.85868,84.99741,1.11e-12,7.344e-13
2452543.23391444,476.814,80.27508,1.124e-12,7.538e-13
2452544.1520997,476.7835,72.40464,1.117e-12,8.427e-13
2452545.201449629,476.7163,96.0139,1.21e-12,9.449e-13
2452546.18520857,476.73566,72.40368,1.234e-12,9.75e-13
2452546.57870962,476.71949,86.56912,1.498e-12,1.268e-12
2452547.16895976,476.67808,72.40311,1.585e-12,1.303e-12
2452547.89037379,476.58278,78.69842,1.649e-12,1.416e-12
2452548.15270517,476.58576,72.40247,1.668e-12,1.458e-12
2452549.202028729,476.31068,72.40179,1.816e-12,1.425e-12
2452550.185756199,476.01947,96.01008,1.677e-12,1.106e-12
2452551.169474599,475.75514,72.40084,1.768e-12,9.97e-13
2452551.6285409,475.76018,84.99186,1.763e-12,1.129e-12
2452552.21877009,475.67128,80.26972,1.725e-12,1.166e-12
2452552.874574569,475.73137,78.69545,1.787e-12,1.228e-12
2452553.136896479,475.72322,72.39972,1.798e-12,1.238e-12
2452554.186176349,475.73003,72.39899,1.826e-12,1.412e-12
2452555.16986833,475.60852,75.54597,1.857e-12,1.46e-12
2452555.563341959,475.56521,80.26722,1.78e-12,1.512e-12
2452556.153551539,475.41544,73.9714,1.68e-12,1.522e-12
2452556.612599399,475.34397,84.9879,1.604e-12,1.492e-12
2452557.202801039,475.25685,94.43034,1.583e-12,1.468e-12
2452557.72742159,475.15806,81.83944,1.55e-12,1.46e-12
2452558.31761713,475.20967,80.2652,1.49e-12,1.452e-12
2452558.90780939,475.07432,78.69098,1.547e-12,1.45e-12
2452559.235693249,475.03848,88.13344,1.623e-12,1.464e-12
2452560.153762079,474.78044,72.3949,1.689e-12,1.477e-12
2452561.137398339,474.58515,72.39418,1.774e-12,1.538e-12
2452561.66200048,474.48519,89.70502,1.843e-12,1.587e-12
2452562.18660006,474.40444,77.11463,1.84e-12,1.599e-12
2452562.907920049,474.32938,80.26145,1.791e-12,1.65e-12
2452563.170216239,474.31798,73.96634,1.787e-12,1.667e-12
2452564.15382265,474.15081,72.39184,1.76e-12,1.661e-12
2452565.399709629,473.9099,91.27525,1.672e-12,1.477e-12
2452566.252147059,473.69709,94.42199,1.637e-12,1.332e-12
2452566.580005719,473.61624,86.55338,1.63e-12,1.302e-12
2452567.170149379,473.59417,72.38993,1.619e-12,1.252e-12
2452567.89143205,473.47564,78.68419,1.549e-12,1.192e-12
2452568.15371586,473.48066,72.38938,1.538e-12,1.184e-12
2452569.202845199,473.27467,94.41977,1.731e-12,1.169e-12
2452570.18639656,473.10265,81.82997,1.784e-12,1.191e-12
2452570.579814599,473.0642,72.38794,1.807e-12,1.194e-12
2452571.169939849,472.93831,72.38757,1.904e-12,1.196e-12
2452572.153474839,472.82502,72.38696,1.885e-12,1.248e-12
2452573.137002179,472.72898,72.38632,1.72e-12,1.29e-12
2452573.59597857,472.67675,86.54829,1.638e-12,1.287e-12
2452574.18608867,472.58645,72.38565,1.602e-12,1.299e-12
2452574.90732952,472.505,78.67954,1.537e-12,1.225e-12
2452575.16959804,472.34759,72.38509,1.531e-12,1.208e-12
2452576.153098819,472.17564,72.38462,1.492e-12,1.092e-12
2452577.202157389,472.06176,95.98718,1.499e-12,1.129e-12
2452578.18564357,471.99929,72.38351,1.506e-12,1.156e-12
2452578.57903642,471.92246,86.54497,1.588e-12,1.246e-12
2452579.169124539,471.86328,72.38285,1.582e-12,1.306e-12
2452579.890338109,471.79457,78.67631,1.663e-12,1.416e-12
2452580.152596599,471.6928,72.3821,1.693e-12,1.423e-12
2452581.201623059,471.53896,95.98347,1.825e-12,1.54e-12
2452582.185076689,471.44494,72.38058,1.843e-12,1.58e-12
2452582.578453449,471.47706,86.54134,1.841e-12,1.661e-12
2452583.168517599,471.39214,72.3798,1.842e-12,1.692e-12
2452583.88970211,471.37016,78.67293,1.79e-12,1.721e-12
2452584.15195032,471.28038,72.37897,1.778e-12,1.729e-12
2452585.20093413,471.10528,95.97945,1.676e-12,1.479e-12
2452586.18434244,471.01682,72.37765,1.615e-12,1.35e-12
2452586.57770272,471.03448,86.53808,1.625e-12,1.266e-12
2452587.167740869,470.98407,72.37716,1.644e-12,1.201e-12
2452587.888895439,470.93826,78.67021,1.715e-12,1.246e-12
2452588.151132769,470.97475,72.37652,1.746e-12,1.25e-12
